filename,params_json
real_hover_d3s_rep0_20260709_172258.csv,"{""motif"": ""hover"", ""motif_id"": ""hover_d3s"", ""rep_index"": 0, ""session_id"": ""20260709_172258""}"
real_hover_d3s_rep1_20260709_172258.csv,"{""motif"": ""hover"", ""motif_id"": ""hover_d3s"", ""rep_index"": 1, ""session_id"": ""20260709_172258""}"
real_hover_d5s_rep0_20260709_172258.csv,"{""motif"": ""hover"", ""motif_id"": ""hover_d5s"", ""rep_index"": 0, ""session_id"": ""20260709_172258""}"
real_hover_d5s_rep1_20260709_172258.csv,"{""motif"": ""hover"", ""motif_id"": ""hover_d5s"", ""rep_index"": 1, ""session_id"": ""20260709_172258""}"
real_hover_d8s_rep0_20260709_172258.csv,"{""motif"": ""hover"", ""motif_id"": ""hover_d8s"", ""rep_index"": 0, ""session_id"": ""20260709_172258""}"
real_hover_d8s_rep1_20260709_172258.csv,"{""motif"": ""hover"", ""motif_id"": ""hover_d8s"", ""rep_index"": 1, ""session_id"": ""20260709_172258""}"
real_accel_decel_a0.20_c0.00_x_rep0_20260709_172258.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.20_c0.00_x"", ""rep_index"": 0, ""session_id"": ""20260709_172258""}"
real_accel_decel_a0.20_c0.00_x_rep1_20260709_172258.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.20_c0.00_x"", ""rep_index"": 1, ""session_id"": ""20260709_172258""}"
real_accel_decel_a0.20_c0.00_x_rep2_20260709_172258.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.20_c0.00_x"", ""rep_index"": 2, ""session_id"": ""20260709_172258""}"
real_accel_decel_a0.20_c0.00_x_rep3_20260709_172258.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.20_c0.00_x"", ""rep_index"": 3, ""session_id"": ""20260709_172258""}"
real_accel_decel_a0.20_c0.50_x_rep0_20260709_172258.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.20_c0.50_x"", ""rep_index"": 0, ""session_id"": ""20260709_172258""}"
real_accel_decel_a0.20_c0.50_x_rep1_20260709_172258.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.20_c0.50_x"", ""rep_index"": 1, ""session_id"": ""20260709_172258""}"
real_accel_decel_a0.20_c0.50_x_rep2_20260709_172258.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.20_c0.50_x"", ""rep_index"": 2, ""session_id"": ""20260709_172258""}"
real_accel_decel_a0.20_c0.50_x_rep3_20260709_172258.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.20_c0.50_x"", ""rep_index"": 3, ""session_id"": ""20260709_172258""}"
real_accel_decel_a0.20_c1.00_x_rep0_20260709_172258.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.20_c1.00_x"", ""rep_index"": 0, ""session_id"": ""20260709_172258""}"
real_accel_decel_a0.20_c1.00_x_rep1_20260709_172258.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.20_c1.00_x"", ""rep_index"": 1, ""session_id"": ""20260709_172258""}"
real_accel_decel_a0.20_c1.00_x_rep2_20260709_172258.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.20_c1.00_x"", ""rep_index"": 2, ""session_id"": ""20260709_172258""}"
real_accel_decel_a0.20_c1.00_x_rep3_20260709_172258.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.20_c1.00_x"", ""rep_index"": 3, ""session_id"": ""20260709_172258""}"
real_accel_decel_a0.40_c0.00_x_rep0_20260709_172258.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.40_c0.00_x"", ""rep_index"": 0, ""session_id"": ""20260709_172258""}"
real_accel_decel_a0.40_c0.00_x_rep1_20260709_172258.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.40_c0.00_x"", ""rep_index"": 1, ""session_id"": ""20260709_172258""}"
real_accel_decel_a0.40_c0.00_x_rep2_20260709_172258.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.40_c0.00_x"", ""rep_index"": 2, ""session_id"": ""20260709_172258""}"
real_accel_decel_a0.40_c0.00_x_rep3_20260709_172258.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.40_c0.00_x"", ""rep_index"": 3, ""session_id"": ""20260709_172258""}"
real_accel_decel_a0.40_c0.50_x_rep0_20260709_172258.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.40_c0.50_x"", ""rep_index"": 0, ""session_id"": ""20260709_172258""}"
real_accel_decel_a0.40_c0.50_x_rep1_20260709_172258.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.40_c0.50_x"", ""rep_index"": 1, ""session_id"": ""20260709_172258""}"
real_accel_decel_a0.40_c0.50_x_rep2_20260709_172258.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.40_c0.50_x"", ""rep_index"": 2, ""session_id"": ""20260709_172258""}"
real_accel_decel_a0.40_c0.50_x_rep3_20260709_172258.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.40_c0.50_x"", ""rep_index"": 3, ""session_id"": ""20260709_172258""}"
real_accel_decel_a0.40_c1.00_x_rep0_20260709_172258.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.40_c1.00_x"", ""rep_index"": 0, ""session_id"": ""20260709_172258""}"
real_accel_decel_a0.40_c1.00_x_rep1_20260709_172258.csv,"{""motif"": ""accel_decel_pulse"", ""motif_id"": ""accel_decel_a0.40_c1.00_x"", ""rep_index"": 1, ""session_id"": ""20260709_172258""}"
